epoch,accuracy,loss,val_accuracy,val_loss
0,0.3714364767074585,1.334285020828247,0.44092220067977905,1.2673193216323853
1,0.6302241683006287,1.0111206769943237,0.6570605039596558,0.932038426399231
2,0.7879878282546997,0.6002538204193115,0.6916426420211792,0.7717956900596619
3,0.8372543454170227,0.4306832253932953,0.7118155360221863,0.7635540962219238
4,0.8790478706359863,0.3335377871990204,0.6974063515663147,0.8080044984817505
5,0.9045115113258362,0.2772400975227356,0.7002881765365601,0.8797370195388794
6,0.9277608394622803,0.22657938301563263,0.6772334575653076,0.8952261805534363
7,0.9382784366607666,0.1919836699962616,0.680115282535553,0.9859845042228699
8,0.9526709318161011,0.1615259051322937,0.680115282535553,1.0383042097091675
9,0.9573761224746704,0.13751430809497833,0.6685879230499268,1.085477352142334
10,0.9631884694099426,0.1275235116481781,0.6628242135047913,1.1809245347976685
11,0.9670633673667908,0.10974808782339096,0.6599423885345459,1.1925429105758667
12,0.9678937196731567,0.10299596190452576,0.680115282535553,1.254258632659912
13,0.9687240719795227,0.09841684997081757,0.651296854019165,1.309000015258789
14,0.9698311686515808,0.08961763978004456,0.6599423885345459,1.3704279661178589
15,0.973706066608429,0.08181679248809814,0.6570605039596558,1.3728394508361816
16,0.973706066608429,0.08499272167682648,0.6541786789894104,1.4071205854415894
17,0.9753667116165161,0.07586473971605301,0.6628242135047913,1.4597618579864502
18,0.9778577089309692,0.06971801817417145,0.6599423885345459,1.5135490894317627
19,0.9767506122589111,0.06832323968410492,0.651296854019165,1.556801199913025
20,0.977027416229248,0.0698055699467659,0.6628242135047913,1.5802704095840454
21,0.977027416229248,0.0669640526175499,0.6541786789894104,1.6111599206924438
22,0.9773041605949402,0.06705328077077866,0.6772334575653076,1.631587028503418
23,0.9773041605949402,0.06300082057714462,0.6628242135047913,1.613792896270752
24,0.9795184135437012,0.05529450625181198,0.6541786789894104,1.6562858819961548
